NAME_AREA,ROAD,CODE_DISTRICT,DISTRICT,GEOX,GEOY
Àrea de Joc Infantil a la Plaça Nou Barris,Nou Barris,8,Nou Barris,41.44786954182683,2.178978080552369
Àrea de Joc Infantil a Escultor Ordóñez-Deia-Valldemosa,C Escultor Ordóñez,8,Nou Barris,41.43545085986959,2.175956112938332
Àrea de Joc Infantil a la Plaça LLedoner,Jrdi Lledoner,7,Horta-Guinardó,41.42443861220265,2.1389484040784503
Àrea de Joc Infantil a la PlaçaTrinitat,Pl Trinitat,9,Sant Andreu,41.450185998946026,2.190732697828233
Àrea de Joc Infantil a Tàrrega - Sèquia Madriguera - Vilamajor - Sas,C Tàrrega,9,Sant Andreu,41.43755986262624,2.2047495102105272
Àrea de Joc Infantil a la Rambla Onze de Setembre - Virgili,Rbla Onze de Setembre,9,Sant Andreu,41.42992172274104,2.192919348149486
Àrea de Joc Infantil a Pedraforca,C Pedraforca,8,Nou Barris,41.46141821200166,2.175282758337867
Àrea de Joc Infantil al Passeig Fabra i Puig - Vilalba dels Arcs - Passeig Valldaura,Pg Fabra i Puig,8,Nou Barris,41.43894275646404,2.1662966322676813
Àrea de Joc Infantil a la l'Avinguda Jordà - Natzaret - Idumea,Av Jordà,7,Horta-Guinardó,41.42731903591786,2.1370067705063542
Àrea de Joc Infantil a Sant Adrià - Estadella,C Sant Adrià,9,Sant Andreu,41.43624590423541,2.2078407754202325
Àrea de Joc Infantil a la Plaça Antoní Gaudí,Pl Gaudí,2,Eixample,41.4050563057242,2.1755311321584228
Àrea de Joc Infantil,Pg Sant Gervasi,5,Sarrià-Sant Gervasi,41.41017536828741,2.1359764773411807
Àrea de Joc Infantil,C Hurtado,5,Sarrià-Sant Gervasi,41.41039828659785,2.1409845236872758
Àrea de Joc Infantil,C Ramon Turró,10,Sant Martí,41.40377081522657,2.2078452555244152
Àrea de Joc Infantil,Av Cardenal Vidal Barraquer,7,Horta-Guinardó,41.43226118482405,2.152778867095455
Àrea de Joc Infantil,C Natzaret,7,Horta-Guinardó,41.42584653455085,2.1365665639082008
Àrea de Joc Infantil a la Plaça de Sant Cristòfol,Pl Sant Cristòfol,3,Sants-Montjuïc,41.35922589012574,2.1369872391280644
Àrea de Joc Infantil a la Plaça de Can Felipa,Pl Josep M. Huertas Claveria,10,Sant Martí,41.40367975860696,2.20050971216533
