register_id,name,institution_id,institution_name,created,modified,addresses_roadtype_id,addresses_roadtype_name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,addresses_type,values_id,values_attribute_id,values_category,values_attribute_name,values_value,values_outstanding,values_description,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_x,geo_epgs_4326_y
﻿99400356603,Àrea de Joc Infantil al Jardí Maresme,,,2014-10-25T13:16:58+02:00,2021-05-04T12:38:13.163350+02:00,,,266405,Rbla Prim,57,,70,el Besòs i el Maresme,10,Sant Martí,08019,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,434349.54051239573,4585033.795868472,41.41417507339098,2.2144556089632594
﻿99400368185,Àrea de Joc Infantil Ronda Guinardó,,,2015-01-19T08:57:39+01:00,2021-05-04T12:39:32.363039+02:00,,,152905,Rda Guinardó,11,,30,la Salut,06,Gràcia,08024,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,429996.6038166757,4584891.847379599,41.4125292175309,2.1623918921439205
﻿99400042554,Àrea de Joc Infantil al Parc de Montjuïc- Plaça Sant Jordi,,,2003-05-29T13:33:33+02:00,2021-05-04T12:40:52.075733+02:00,,,304300,Pl Sant Jordi,,,11,el Poble-sec,03,Sants-Montjuïc,08038,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,428468.4647280591,4579858.7631681245,41.367063579634255,2.1447036283132217
﻿99400368192,Àrea de Joc Infantil d'Eduard Batiste Alentorn,,,2015-01-19T09:33:00+01:00,2021-05-04T12:39:37.239663+02:00,,,097807,C Dante Alighieri,74,,37,el Carmel,07,Horta-Guinardó,08032,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,429590.5093950861,4586640.079255339,41.42823937464338,2.157329846121439
﻿99400368195,Àrea de Joc Infantil a la Plaça Torre Llobeta,,,2015-01-19T09:41:25+01:00,2021-05-04T12:39:38.976917+02:00,,,700142,Pl Torre Llobeta,,,44,Vilapicina i la Torre Llobeta,08,Nou Barris,08031,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,430979.68795277446,4586433.503554584,41.42649939103045,2.1739776278713627
﻿99400369515,Àrea de Joc Infantil,99400297201,Jardins Interior d'Illa de Beatriu Pinós-Milany,2015-01-27T00:00:00+01:00,2021-05-04T12:39:41.688053+02:00,,,289105,C Rosselló,149,,08,l'Antiga Esquerra de l'Eixample,02,Eixample,08036,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,428989.58314478106,4582295.457493467,41.389056181817026,2.1506484483874333
﻿98329172238,Àrea de Joc Infantil a la Plaça Doctor Emili Mira i Lopez,,,1998-11-25T00:00:00+01:00,2021-05-04T12:35:28.867537+02:00,,,095007,Quatre Camins,42,,25,Sant Gervasi - la Bonanova,05,Sarrià-Sant Gervasi,08022,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,427463.5834815757,4584594.526744751,41.40962676152451,2.1321225931704464
﻿99400369695,Àrea de Joc Infantil a Lisboa - Capcir,,,2015-01-28T13:39:34+01:00,2021-05-04T12:39:54.158110+02:00,,,179901,C Lisboa,5,,43,Horta,07,Horta-Guinardó,08032,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,429710.4662019956,4586777.477941444,41.429487374540415,2.1587493810415
﻿99400344716,Àrea de Joc Infantil,92086012405,Jardins Joaquim Ruyra,2014-06-11T00:00:00+02:00,2021-05-04T12:36:15.251036+02:00,,,110803,C Entença,328,,19,les Corts,04,Les Corts,08029,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,427941.94130028505,4582423.034027032,41.39011204358769,2.138103837967807
﻿99400357152,Àrea de Joc Infantil a Alzinar - Pierola - Torre Vella,,,2014-10-30T15:05:53+01:00,2021-05-04T12:39:06.676438+02:00,,,341001,C Torre Vella,2,,56,Vallbona,08,Nou Barris,08033,BARCELONA,True,,,,,,,,,55735068,Àrees de jocs infantils,Planol BCN >> Cultura i lleure >> Espais infantils >> Àrees de jocs infantils,651,0065103002004000,431782.86937640037,4590281.792237849,41.46122809452083,2.183154431542967
